num,word0,tone0,word1,tone1,length,tone,gl,answer,seq,neu,status,flipped,path
7A.wav,路口,23,刀口,44,NA,23,NA,路口,1,23_44,test,no,dissertation_sound/exp2/test/09_F/7A.wav
7B.wav,路口,23,刀口,44,NA,23,NA,路口,2,23_44,test,no,dissertation_sound/exp2/test/09_F/7B.wav
8A.wav,路口,23,刀口,44,NA,44,NA,刀口,3,23_44,test,no,dissertation_sound/exp2/test/09_F/8A.wav
8B.wav,路口,23,刀口,44,NA,44,NA,刀口,4,23_44,test,no,dissertation_sound/exp2/test/09_F/8B.wav
25A.wav,杂技,2,查岗,44,NA,2,NA,杂技,5,2_44,test,no,dissertation_sound/exp2/test/09_F/25A.wav
25B.wav,杂技,2,查岗,44,NA,2,NA,杂技,6,2_44,test,no,dissertation_sound/exp2/test/09_F/25B.wav
26A.wav,杂技,2,查岗,44,NA,44,NA,查岗,7,2_44,test,no,dissertation_sound/exp2/test/09_F/26A.wav
26B.wav,杂技,2,查岗,44,NA,44,NA,查岗,8,2_44,test,no,dissertation_sound/exp2/test/09_F/26B.wav
35A.wav,替补,35,铁板,5,NA,35,NA,替补,9,5_35,test,no,dissertation_sound/exp2/test/09_F/35A.wav
35B.wav,替补,35,铁板,5,NA,35,NA,替补,10,5_35,test,no,dissertation_sound/exp2/test/09_F/35A-duplicate.wav
36A.wav,替补,35,铁板,5,NA,5,NA,铁板,11,5_35,test,no,dissertation_sound/exp2/test/09_F/36A.wav
36B.wav,替补,35,铁板,5,NA,5,NA,铁板,12,5_35,test,no,dissertation_sound/exp2/test/09_F/36B.wav
38A.wav,死罪,42,湿地,5,NA,42,NA,死罪,13,5_42,test,no,dissertation_sound/exp2/test/09_F/38A.wav
38B.wav,死罪,42,湿地,5,NA,42,NA,死罪,14,5_42,test,no,dissertation_sound/exp2/test/09_F/38B.wav
40A.wav,死罪,42,湿地,5,NA,5,NA,湿地,15,5_42,test,no,dissertation_sound/exp2/test/09_F/40A.wav
40B.wav,死罪,42,湿地,5,NA,5,NA,湿地,16,5_42,test,no,dissertation_sound/exp2/test/09_F/40B.wav
48A.wav,假设,42,价格,35,NA,42,NA,假设,17,35_42,test,no,dissertation_sound/exp2/test/09_F/48A.wav
48B.wav,假设,42,价格,35,NA,42,NA,假设,18,35_42,test,no,dissertation_sound/exp2/test/09_F/48B.wav
49A.wav,假设,42,价格,35,NA,35,NA,价格,19,35_42,test,no,dissertation_sound/exp2/test/09_F/49A.wav
49B.wav,假设,42,价格,35,NA,35,NA,价格,20,35_42,test,no,dissertation_sound/exp2/test/09_F/49B.wav